year,drug_name,drug_type,January_purchase,February_purchase,March_purchase,April_purchase,May_purchase,June_purchase,July_purchase,August_purchase,September_purchase,October_purchase,November_purchase,December_purchase,total_Quantity,price,total_price
2023,Mirtazapine,Atypical antidepressant,15,25,30,10,15,20,25,20,15,25,30,25,250,10,2500
2023,Trazodone,SARI antidepressant,100,110,120,95,100,105,115,110,100,110,120,115,1215,15,18225
2023,Baclofen,Muscle relaxant,10,20,25,5,10,15,20,15,10,20,25,20,205,25,5125
2023,Methotrexate,Chemotherapy agent,85,95,105,80,85,90,100,95,85,95,105,100,1050,20,21000
2023,Doxycycline,Antibiotic,30,40,45,25,30,35,40,35,30,40,45,40,435,22,9570
2023,Desvenlafaxine,SNRI antidepressant,65,75,85,60,65,70,80,75,65,75,85,80,845,12,10140
2023,Methylphenidate,Stimulant,20,30,35,15,20,25,30,25,20,30,35,30,305,18,5490
2023,Atomoxetine,SNRI antidepressant,90,100,110,85,90,95,105,100,90,100,110,105,1125,12,13500
2023,Buprenorphine,Opioid,15,25,30,10,15,20,25,20,15,25,30,25,250,15,3750
2023,Phenobarbital,Barbiturate,100,110,120,95,100,105,115,110,100,110,120,115,1215,10,12150
2023,Clomipramine,TCA antidepressant,10,20,25,5,10,15,20,15,10,20,25,20,205,20,4100
2023,Duloxetine,SNRI antidepressant,85,95,105,80,85,90,100,95,85,95,105,100,1050,15,15750
2023,Gabapentin,Anticonvulsant,30,40,45,25,30,35,40,35,30,40,45,40,435,18,7830
2023,Lacosamide,Anticonvulsant,65,75,85,60,65,70,80,75,65,75,85,80,845,20,16900
2023,Carbamazepine,Anticonvulsant,20,30,35,15,20,25,30,25,20,30,35,30,305,22,6710
2023,Clonidine,Central alpha-2 adrenergic agonist,90,100,110,85,90,95,105,100,90,100,110,105,1125,12,13500
2023,Lithium salts,Mood stabilizer,15,25,30,10,15,20,25,20,15,25,30,25,250,15,3750
2023,Olanzapine,Atypical antipsychotic,100,110,120,95,100,105,115,110,100,110,120,115,1215,10,12150
2023,Pregabalin,Anticonvulsant,10,20,25,5,10,15,20,15,10,20,25,20,205,20,4100
